IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
IPAddress,89.101.97.139,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,41.228.22.180,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,144.139.47.206,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,31.35.28.29,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,196.203.37.215,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,70.46.220.114,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,148.64.96.100,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,172.115.177.204,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,66.181.164.43,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,58.186.75.42,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,198.2.51.242,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,84.35.26.14,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,70.64.77.115,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,92.239.81.124,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,91.68.227.219,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,75.98.154.19,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,91.169.12.198,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,174.58.146.57,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,92.27.86.48,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,213.91.235.146,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,176.142.207.63,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,81.229.117.95,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,88.126.94.4,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,89.129.109.27,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,64.121.161.102,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,12.172.173.82,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,89.79.229.50,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,47.229.96.60,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,92.186.69.229,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,176.133.4.230,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,162.248.14.107,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,94.30.98.134,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,12.172.173.82,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,12.172.173.82,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,149.74.159.67,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,201.244.108.183,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,183.87.163.165,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,50.68.186.195,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,84.108.200.161,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,104.35.24.154,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,47.21.51.138,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,74.58.71.237,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,174.4.89.3,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,92.20.204.198,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,178.175.187.254,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,84.215.202.8,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,103.140.174.20,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,122.186.210.254,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,72.205.104.134,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,96.87.28.170,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,91.160.70.68,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,81.150.42.123,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,27.99.32.26,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
